river,n
KWAKUSDIS RIVER,56
KWAKWA CREEK,26
KWATNA RIVER,54
LADEKIN CREEK,9
LAGOON CREEK,37
LARD CREEK,53
LEE CREEK,59
LIMESTONE CREEK,41
LINNEA CREEK,40
LITTLE CREEK,56
LITTLE KETTLE CREEK,12
LITTLE TILLHORN CREEK,24
LITTLE WEDEENE RIVER,39
LOCKHART GORDON CREEK,57
MACNAIR CREEK,56
MARMOT COVE CREEK,49
MARSHALL CREEK,49
MARTIN RIVER,50
MARY COVE CREEK,27
MCDONALD CREEK,14
MCLOUGHLIN CREEK,44
MCMICKING CREEK,21
MEYERS PASS CREEK,39
MILTON RIVER,42
MISSED CREEK,14
MUSSEL RIVER,63
"NALBEELAH CREEK",25
"NAMELESS CREEK",45
"NAMU RIVER",30
NEECHANZ RIVER,4
NEEKAS CREEK,62
NEKITE RIVER,60
NEKITE SPAWNING CHANNEL,24
NIAS CREEK,56
NICKNAQUEET RIVER,30
NIEL CREEK,7
NOBLE  CREEK,39
NOOTUM RIVER,37
OSMENT CREEK,34
PACKE CREEK,38
PARIL RIVER,26
PENN CREEK,14
PIKE CREEK,36
PINE RIVER,31
POISON COVE CREEK,51
POWLES CREEK,43
PRICE CREEK,49
PYNE CREEK,52
QUAAL RIVER,63
QUARTCHA CREEK,62
QUATLENA RIVER,47
QUIGLEY CREEK,30
RAINBOW CREEK,25
RESCUE BAY CREEKS,6
RIORDAN CREEK,31
ROBINSON CREEKS,24
ROLAND CREEK,14
RONALD CREEK,39
ROSCOE CREEK,63
SAGAR CREEK,50
SALLY CREEK,14
SALMON BAY CREEK,60
SALMON CREEK,17
SCOW BAY CREEK,62
SENTINEL CREEK,22
SHIP POINT CREEK,11
SODA CREEK,57
SOUND POINT LAGOON CREEK,27
SPILLER LAGOON CREEK,9
STANNARD CREEK,37
STEEP CREEK,9
TAKUSH RIVER,48
TALAMOOSA CREEK,12
TANKEEAH RIVER,47
TAYLOR CREEK,19
TOM BAY CREEK,44
TRAHEY CREEK,37
TRENEMAN CREEK,26
TSAYTIS RIVER,29
TURN CREEK,56
TURTLE CREEK,46
TUWARTZ CREEK,24
TYLER CREEK,59
VERNEY PASSAGE CREEK,28
WAHOO CREEK,52
WALE CREEK,23
WALKER LAKE CREEK,45
WALKUM CREEK,52
WASHWASH RIVER,5
WATHL CREEK,49
WATSON BAY CREEK,36
WEBSTER LAKE CREEK,50
WEDEENE RIVER,28
WEEWANIE CREEK,60
WEST ARM CREEK,39
WEST CREEK,21
WHALEN CREEK,16
WINDFALL CREEK,19
WINDY BAY CREEK,52
WINDY ISLAND CREEK,32
WORAN CREEK,53
YOUNG RIVER,8
