AREA,PERIMETER,QCST_TAG,FCODE,GEOMETRY,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
,770.505,ISLAND,GE14850000,,1840,34049.7423,770.5044,,
,472.209,ISLAND,GE14850000,,1842,14733.5135,472.2094,,
,281852.029,ISLAND,GE14850000,,1212,357321284.7263,281852.0141,,
,202.376,ISLAND,GE14850000,,1377,2362.4762,202.3755,,
,1238.716,ISLAND,GE14850000,,1381,57442.6559,1238.7162,,
,411.953,ISLAND,GE14850000,,1821,10026.4097,411.9522,,
,998.351,ISLAND,GE14850000,,1372,61938.3093,998.3503,,
,337.748,ISLAND,GE14850000,,1351,7323.5202,337.7485,,
,884.885,ISLAND,GE14850000,,1368,33449.1912,884.8838,,
,251.605,ISLAND,GE14850000,,1371,3730.4,251.6042,,
,1092.882,ISLAND,GE14850000,,1360,40286.0926,1092.8824,,
,358.2,ISLAND,GE14850000,,1805,9234.0059,358.1992,,
,887.181,ISLAND,GE14850000,,1881,38381.5843,887.1815,,
,432.894,ISLAND,GE14850000,,1876,12244.339,432.8958,,
,788.719,ISLAND,GE14850000,,1856,36984.763,788.719,,
,310.105,ISLAND,GE14850000,,1871,4974.981,310.105,,
,280.687,ISLAND,GE14850000,,1870,5254.7648,280.6869,,
,554.939,ISLAND,GE14850000,,1854,21409.5674,554.9389,,
,1251.753,ISLAND,GE14850000,,1849,65237.8257,1251.7533,,
,1703.523,ISLAND,GE14850000,,1869,183396.8909,1703.5238,,
,424.591,ISLAND,GE14850000,,1352,11299.4037,424.5908,,
,334.776,ISLAND,GE14850000,,1353,7479.2492,334.7756,,
,750.798,ISLAND,GE14850000,,1877,38745.7173,750.7976,,
,443.856,ISLAND,GE14850000,,1375,7524.9773,443.8563,,
,436.985,ISLAND,GE14850000,,1369,12462.6663,436.9856,,
,16461.922,ISLAND,GE14850000,,1409,4841069.2873,16461.9218,,
,1710.559,ISLAND,GE14850000,,1404,154856.3697,1710.5579,,
,980.939,ISLAND,GE14850000,,1396,45484.0062,980.9404,,
,775.25,ISLAND,GE14850000,,1393,38461.3927,775.2496,,
,11968.118,ISLAND,GE14850000,,1350,3036548.2335,11968.1154,,
,5490.59,ISLAND,GE14850000,,1365,1020987.5919,5490.5908,,
,527.291,ISLAND,GE14850000,,1376,17812.1141,527.2903,,
,1210.658,ISLAND,GE14850000,,1880,59718.9463,1210.6572,,
